12 18 57.5,47 18.23 13.8
12 19 23.21,5 49.52 31.2
12 20 11.9,2 3.7 42
12 21 31.7,28 13.99 59.4
12 23 40.49,80 40.07 4.2
12 24 54.41,21 22.76 45.6
12 25 3.7,12 53.21 12.6
12 25 46.7,12 39.73 43.8
12 27 58.7,36 35.2 12
12 28 36.91,10 18.7 42
12 29 6.7,2 3.15 9
12 29 51.79,11 40.65 39
12 30 49.39,12 23.47 28.2
12 33 15.19,67 7.72 43.2
12 36 8.21,16 38.45 27
12 36 27.91,16 32.06 3.6
12 36 51.41,39 20.47 28.2
12 37 12,-72 35.51 30.6
12 37 54.41,-18 30.47 28.2
12 41 0.29,18 33.23 13.8
12 43 57.6,16 22.9 54
12 45 53.9,69 39.47 28.2
12 46 18.1,26 27.17 10.2
12 47 7.3,49 0.3 18
12 50 3.79,-1 32.42 25.2
12 52 26.3,56 34.33 19.8
12 53 7.2,-10 29.65 39
12 54 12,27 37.57 34.2
12 54 19.01,27 4.09 5.4
12 54 36.19,-12 33.79 47.4
12 56 11.09,-5 47.36 21.6
12 57 24.29,27 29.87 52.2
12 59 23.3,27 54.7 42
12 59 35.71,27 57.55 33
13 0 33.29,40 9.13 7.8
13 1 0.79,-32 26.48 28.8
13 6 5.71,80 8.35 21
13 6 15.29,-25 17.32 19.2
13 9 4.39,10 29.59 35.4
13 10 56.71,17 59.63 37.8
13 11 23.69,-44 22.69 41.4
13 13 47.3,-27 16.82 49.2
13 16 16.99,7 2.78 46.8
13 17 36.5,34 25.27 16.2
13 19 4.1,29 38.59 35.4
13 19 46.2,51 48.1 6
13 21 12.79,-43 42.26 15.6
13 21 17.9,42 35.25 15
13 21 18.79,11 6.83 49.8
13 22 54.5,58 10.03 1.8
13 23 45,31 33.95 57
13 24 51.41,36 22.72 43.2
13 25 27.6,-43 1.15 9
13 25 29.71,65 15.22 13.2
13 26 16.49,31 54.17 10.2
13 31 8.3,30 30.55 33
13 32 53.3,2 0.77 46.2
13 34 18.5,-10 9.49 29.4
13 36 39,-33 57.95 57
13 37 49.61,55 1.03 1.8
13 38 15.89,4 32.55 33
13 38 49.9,38 51.15 9
13 46 49.01,-60 24.49 29.4
13 47 33.29,12 17.4 24
13 47 40.99,58 12.7 42
13 49 34.61,53 41.29 17.4
13 52 17.81,31 26.77 46.2
13 57 4.39,19 19.12 7.2
13 57 6.5,25 37.48 28.8
13 58 6,21 40.35 21
14 0 0.79,28 30 0
14 0 28.61,62 10.65 39
14 1 41.81,-11 36.41 24.6
14 2 44.5,15 59.95 57
14 5 1.1,4 15.6 36
14 9 57.31,17 32.74 44.4
14 11 22.01,59 17.06 3.6
14 13 15.1,0 0 0
14 15 58.8,13 20.4 24
14 16 4.2,34 44.6 36
14 16 52.9,10 48.45 27
14 17 31.3,8 12.5 30
14 17 59.5,25 8.2 12
14 19 8.21,6 28.58 34.8
14 19 46.61,54 23.25 15
14 23 1.01,19 35.29 17.4
14 24 40.49,26 37.52 31.2
14 24 56.9,20 0.38 22.8
14 35 33.5,55 7.88 52.8
14 35 35.4,30 12.41 24.6
14 35 56.59,17 29.59 35.4
14 43 2.81,52 1.61 36.6
14 47 9.5,76 56.36 21.6
14 49 21.6,63 16.24 14.4
14 52 33.6,27 57.92 55.2
14 53 2.9,33 8.68 40.8
14 54 27.41,-37 47.55 33
14 55 54,-52 0.79 47.4
14 55 55.3,11 51.7 42
14 56 13.9,-51 56.59 35.4
14 59 7.61,71 40.33 19.8
15 10 53.59,-5 43.12 7.2
15 10 56.09,5 44.68 40.8
15 11 26.5,6 20.95 57
15 12 12.19,15 40.43 25.8
15 12 42.19,-9 9.02 1.2
15 12 50.5,-9 6 0
15 13 29.3,10 11.1 6
15 14 43.1,36 50.83 49.8
15 17 41.81,-24 22.31 18.6
15 20 19.1,56 35.93 55.8
15 21 22.51,4 20.5 30
15 23 26.9,28 37.54 32.4
15 24 41.59,15 21.35 21
15 27 44.4,28 55.12 7.2
15 30 10.3,29 0.5 30
15 31 43.51,24 4.31 18.6
15 34 52.39,1 31.07 4.2
15 42 19.51,17 56.14 8.4
15 47 43.51,20 52.28 16.8
15 49 48.91,21 25.63 37.8
15 49 56.4,70 12.94 56.4
15 49 58.39,62 41.36 21.6
15 55 51,24 6.25 15
15 57 29.9,33 4.78 46.8
16 2 12.6,24 10.18 10.8
16 2 27.41,1 57.94 56.4
16 4 56.09,0 0 0
16 5 9,17 43.8 48
16 6 12.7,0 0 0
16 9 11.21,17 56.27 16.2
16 9 13.3,26 41.48 28.8
16 13 40.99,34 12.8 48
16 15 3.79,-60 54.43 25.8
16 15 31.3,27 26.95 57
16 16 37.8,42 26.93 55.8
16 17 40.49,35 0.25 15
16 18 23.59,36 32.03 1.8
16 20 21.79,17 36.4 24
16 23 3.1,37 55.33 19.8
16 24 39.1,23 45.2 12
16 25 10.3,40 53.57 34.2
16 25 57.7,41 34.69 41.4
16 26 6,-29 51.45 27
16 28 4.01,27 41.72 43.2
16 28 38.5,39 33.1 6
